conference_name,h2_index,h2_text,h3_index,h3_text
Sooner Athletic Conference,2,Member schools,3,Former members
Sooner Athletic Conference,2,Member schools,4,Former associate members
Sooner Athletic Conference,2,Member schools,5,Membership timeline
Sooner Athletic Conference,3,References,,
Sooner Athletic Conference,4,External links,,
Southern States Athletic Conference,1,History,1,Chronological timeline
Southern States Athletic Conference,2,Member schools,1,Current members
Southern States Athletic Conference,2,Member schools,2,Future members
Southern States Athletic Conference,2,Member schools,3,Affiliate members
Southern States Athletic Conference,2,Member schools,4,Former members
Southern States Athletic Conference,2,Member schools,5,Former affiliate members
Southern States Athletic Conference,2,Member schools,6,Membership timeline
Southern States Athletic Conference,3,Sports,,
Southern States Athletic Conference,4,References,,
Southern States Athletic Conference,5,External links,,
Sun Conference,1,History,1,Chronological timeline
Sun Conference,2,Member schools,1,Current members
Sun Conference,2,Member schools,2,Current affiliate members
Sun Conference,2,Member schools,3,Former members
Sun Conference,2,Member schools,4,Former affiliate members
Sun Conference,2,Member schools,5,Membership timeline
Sun Conference,3,Sports,,
Sun Conference,4,References,,
Sun Conference,5,External links,,
Wolverine-Hoosier Athletic Conference,1,History,1,Chronological timeline
Wolverine-Hoosier Athletic Conference,2,Member schools,1,Current members
Wolverine-Hoosier Athletic Conference,2,Member schools,2,Affiliate members
Wolverine-Hoosier Athletic Conference,2,Member schools,3,Former members
Wolverine-Hoosier Athletic Conference,2,Member schools,4,Former affiliate members
Wolverine-Hoosier Athletic Conference,2,Member schools,5,Membership timeline
Wolverine-Hoosier Athletic Conference,3,Sports,,
Wolverine-Hoosier Athletic Conference,4,References,,
Wolverine-Hoosier Athletic Conference,5,External links,,
